Bedrijfsnaam Aflopend sorteren,Bedrag in €,Land,Sector,Type,Bedrag in € (num)
Cyprium Corp / Cyprium Holdings Luxembourg Sarl,1.681.587,Verenigde Staten,"Consumer, cyclical",Bedrijfsobligaties,1681587
D'ieteren Group,460.678,België,"Consumer, cyclical",Aandelen,460678
Dabur India Ltd,1.020.838,India,"Consumer, non-cyclical",Aandelen,1020838
Dai Nippon Printing Co Ltd,1.721.456,Japan,"Consumer, non-cyclical",Aandelen,1721456
Daifuku Co Ltd,2.736.091,Japan,Industrial,Aandelen,2736091
Daiichi Life Group Inc,7.770.001,Japan,Financial,Aandelen,7770001
Daiichi Sankyo Co Ltd,7.425.655,Japan,"Consumer, non-cyclical",Aandelen,7425655
Daimler International Finance BV,38.732.846,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,38732846
Daimler Truck Holding AG,2.671.580,Duitsland,"Consumer, cyclical",Aandelen,2671580
Daimler Truck International Finance BV,27.263.297,Duitsland,"Consumer, cyclical",Bedrijfsobligaties,27263297
Daiwa Securities Group Inc,3.052.959,Japan,Financial,Aandelen,3052959
Danaher Corp,5.642.847,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,5642847
Danaher Corp,57.312.450,Verenigde Staten,"Consumer, non-cyclical",Aandelen,57312450
Danone SA,32.497.197,Frankrijk,"Consumer, non-cyclical",Aandelen,32497197
Danone SA,37.475.370,Frankrijk,"Consumer, non-cyclical",Bedrijfsobligaties,37475370
Danske Bank A/S,3.908.697,Denemarken,Financial,Aandelen,3908697
Danske Bank A/S,28.315.796,Denemarken,Financial,Bedrijfsobligaties,28315796
Darling Global Finance BV,12.057.273,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12057273
Darling Ingredients Inc,10.580.516,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,10580516
Dassault Systemes SE,7.403.204,Frankrijk,Technology,Bedrijfsobligaties,7403204
Dassault Systemes SE,7.403.204,Frankrijk,Technology,Bedrijfsobligaties,7403204
Datadog Inc,6.652.069,Verenigde Staten,Technology,Aandelen,6652069
DaVita Inc,12.853.787,Verenigde Staten,"Consumer, non-cyclical",Bedrijfsobligaties,12853787
DB Insurance Co Ltd,2.595.064,Zuid-Korea,Financial,Aandelen,2595064
DBS Bank Ltd,904.828,Singapore,Financial,Bedrijfsobligaties,904828
DBS Group Holdings Ltd,23.314.646,Singapore,Financial,Aandelen,23314646
Deere & Co,55.268.618,Verenigde Staten,Industrial,Aandelen,55268618
Delivery Hero SE,387.532,Zuid-Korea,Communications,Aandelen,387532
Dell Bank International DAC,4.951.116,Ierland,Technology,Bedrijfsobligaties,4951116
Dell Technologies Inc,10.329.278,Verenigde Staten,Technology,Aandelen,10329278
Delta Air Lines Inc,2.069.004,Verenigde Staten,"Consumer, cyclical",Aandelen,2069004
