Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamSIG PLC,Bedrag in euro's6.270.104
BedrijfsnaamSilgan Holdings Inc,Bedrag in euro's21.307.305
BedrijfsnaamSinclair Television Group Inc,Bedrag in euro's3.104.969
BedrijfsnaamSirius XM Radio LLC,Bedrag in euro's22.785.885
BedrijfsnaamSix Flags Entertainment Corp,Bedrag in euro's8.968.931
BedrijfsnaamSix Flags Entertainment Corp / Canada's Wonderland Co / Magnum Management Corp,Bedrag in euro's3.414.755
BedrijfsnaamSix Flags Entertainment Corp /Six Flags Theme Parks Inc/ Canada's Wonderland Co,Bedrag in euro's5.549.539
BedrijfsnaamSK Invictus Intermediate II Sarl,Bedrag in euro's5.158.788
BedrijfsnaamSmyrna Ready Mix Concrete LLC,Bedrag in euro's2.917.869
BedrijfsnaamSnap Inc,Bedrag in euro's896.280
BedrijfsnaamSomnigroup International Inc,Bedrag in euro's937.670
BedrijfsnaamSonic Automotive Inc,Bedrag in euro's3.621.143
BedrijfsnaamSotheby's,Bedrag in euro's6.756.036
BedrijfsnaamSPIE SA,Bedrag in euro's15.290.417
BedrijfsnaamStar Parent Inc,Bedrag in euro's3.367.325
BedrijfsnaamStarwood Property Trust Inc,Bedrag in euro's8.428.750
BedrijfsnaamStena International SA,Bedrag in euro's10.605.819
BedrijfsnaamSuburban Propane Partners LP/Suburban Energy Finance Corp,Bedrag in euro's3.399.518
BedrijfsnaamSudzucker International Finance BV,Bedrag in euro's1.688.499
BedrijfsnaamSummer BC Holdco B SARL,Bedrag in euro's4.435.031
BedrijfsnaamSunoco LP / Sunoco Finance Corp,Bedrag in euro's3.449.255
BedrijfsnaamSunrise FinCo I BV,Bedrag in euro's15.076.433
BedrijfsnaamSurgery Center Holdings Inc,Bedrag in euro's2.533.009
BedrijfsnaamSynthomer PLC,Bedrag in euro's12.055.505
BedrijfsnaamTalos Production Inc,Bedrag in euro's8.002.080
BedrijfsnaamTeamSystem SpA,Bedrag in euro's1.911.680
BedrijfsnaamTechem Verwaltungsgesellschaft 675 mbH,Bedrag in euro's1.597.918
BedrijfsnaamTEGNA Inc,Bedrag in euro's2.518.200
BedrijfsnaamTelecom Italia Finance SA,Bedrag in euro's10.366.250
BedrijfsnaamTelecom Italia SpA/Milano,Bedrag in euro's39.934.150
BedrijfsnaamTeleflex Inc,Bedrag in euro's16.239.771
BedrijfsnaamTelefonica Europe BV,Bedrag in euro's113.144.791
BedrijfsnaamTelenet Finance Luxembourg Notes Sarl,Bedrag in euro's3.433.482
BedrijfsnaamTenet Healthcare Corp,Bedrag in euro's30.907.960
BedrijfsnaamTenneco Inc,Bedrag in euro's5.207.978
BedrijfsnaamTenneT Holding BV,Bedrag in euro's48.724.711
BedrijfsnaamTerex Corp,Bedrag in euro's10.811.442
BedrijfsnaamTerraForm Power Operating LLC,Bedrag in euro's4.254.145
BedrijfsnaamTGNR Intermediate Holdings LLC,Bedrag in euro's4.001.194
BedrijfsnaamThor Industries Inc,Bedrag in euro's1.006.781
BedrijfsnaamTopBuild Corp,Bedrag in euro's13.520.206
BedrijfsnaamToucan FinCo Ltd/Toucan FinCo Can Inc/Toucan FinCo US LLC,Bedrag in euro's1.669.383
BedrijfsnaamTransAlta Corp,Bedrag in euro's5.622.538
BedrijfsnaamTransDigm Inc,Bedrag in euro's67.507.946
BedrijfsnaamTriMas Corp,Bedrag in euro's816.615
BedrijfsnaamTriNet Group Inc,Bedrag in euro's9.889.564
BedrijfsnaamTrinity Industries Inc,Bedrag in euro's4.399.615
BedrijfsnaamTrivium Packaging Finance BV,Bedrag in euro's23.783.054
BedrijfsnaamTronox Inc,Bedrag in euro's1.892.636
BedrijfsnaamTTM Technologies Inc,Bedrag in euro's3.342.141
BedrijfsnaamTUI AG,Bedrag in euro's9.901.972
BedrijfsnaamTwilio Inc,Bedrag in euro's5.855.678
BedrijfsnaamUGI International LLC,Bedrag in euro's15.168.166
BedrijfsnaamUKG Inc,Bedrag in euro's5.753.119
BedrijfsnaamUnited Airlines Inc,Bedrag in euro's2.375.509
BedrijfsnaamUnited Group BV,Bedrag in euro's9.231.406
BedrijfsnaamUnited Rentals North America Inc,Bedrag in euro's13.143.908
BedrijfsnaamUniti Group LP / Uniti Group Finance Inc / CSL Capital LLC,Bedrag in euro's13.956.301
BedrijfsnaamUpbound Group Inc,Bedrag in euro's4.617.581
BedrijfsnaamUS Foods Inc,Bedrag in euro's19.365.483
BedrijfsnaamVail Resorts Inc,Bedrag in euro's7.039.142
BedrijfsnaamValeo SE,Bedrag in euro's58.247.395
BedrijfsnaamVallourec SACA,Bedrag in euro's2.107.197
BedrijfsnaamVarex Imaging Corp,Bedrag in euro's4.498.675
BedrijfsnaamVenture Global LNG Inc,Bedrag in euro's7.231.227
BedrijfsnaamVenture Global Plaquemines Lng LLC,Bedrag in euro's3.174.121
BedrijfsnaamVeolia Environnement SA,Bedrag in euro's87.314.093
BedrijfsnaamVeritiv Operating Co,Bedrag in euro's5.085.071
BedrijfsnaamVersuni Group BV,Bedrag in euro's2.429.011
BedrijfsnaamVertiv Group Corp,Bedrag in euro's6.808.431
BedrijfsnaamVF Corp,Bedrag in euro's15.471.503
BedrijfsnaamVictoria PLC,Bedrag in euro's944.066
BedrijfsnaamVictra Holdings LLC / Victra Finance Corp,Bedrag in euro's3.428.481
BedrijfsnaamVistra Operations Co LLC,Bedrag in euro's2.875.617
BedrijfsnaamVivion Investments Sarl,Bedrag in euro's39.991
BedrijfsnaamVM Consolidated Inc,Bedrag in euro's2.855.545
BedrijfsnaamVodafone Group PLC,Bedrag in euro's97.390.205
BedrijfsnaamVolvo Car AB,Bedrag in euro's17.605.630
BedrijfsnaamVT Topco Inc,Bedrag in euro's5.320.978
BedrijfsnaamVZ Secured Financing BV,Bedrag in euro's27.115.790
BedrijfsnaamVZ Vendor Financing II BV,Bedrag in euro's6.113.929
BedrijfsnaamWalgreens Boots Alliance Inc,Bedrag in euro's16.312.047
BedrijfsnaamWand NewCo 3 Inc,Bedrag in euro's4.496.453
BedrijfsnaamWaste Pro USA Inc,Bedrag in euro's4.826.753
BedrijfsnaamWeatherford International Ltd,Bedrag in euro's2.651.979
BedrijfsnaamWESCO Distribution Inc,Bedrag in euro's20.341.865
BedrijfsnaamWhirlpool Corp,Bedrag in euro's6.578.005
BedrijfsnaamWhirlpool Finance Luxembourg Sarl,Bedrag in euro's15.461.252
BedrijfsnaamWilliams Scotsman Inc,Bedrag in euro's18.558.724
BedrijfsnaamWindstream Services LLC / Windstream Escrow Finance Corp,Bedrag in euro's13.061.218
BedrijfsnaamWinnebago Industries Inc,Bedrag in euro's3.499.343
BedrijfsnaamWintershall Dea Finance 2 BV,Bedrag in euro's18.662.118
BedrijfsnaamWynn Resorts Finance LLC / Wynn Resorts Capital Corp,Bedrag in euro's3.535.252
BedrijfsnaamXHR LP,Bedrag in euro's7.627.444
BedrijfsnaamXPLR Infrastructure Operating Partners LP,Bedrag in euro's23.846.035
BedrijfsnaamXPO Inc,Bedrag in euro's5.305.539
BedrijfsnaamYum! Brands Inc,Bedrag in euro's25.496.604
BedrijfsnaamZayo Group Holdings Inc,Bedrag in euro's3.998.108
BedrijfsnaamZebra Technologies Corp,Bedrag in euro's2.452.046
BedrijfsnaamZegona Finance PLC,Bedrag in euro's12.465.188
BedrijfsnaamZiggo Bond Co BV,Bedrag in euro's6.987.371
BedrijfsnaamZiggo BV,Bedrag in euro's18.589.112
BedrijfsnaamZoomInfo Technologies LLC/ZoomInfo Finance Corp,Bedrag in euro's5.009.874
Bedrijfsnaam1011778 BC ULC / New Red Finance Inc,Bedrag in euro's43.447.100
Bedrijfsnaam1261229 BC Ltd,Bedrag in euro's9.609.383
Bedrijfsnaam180 Medical Inc,Bedrag in euro's7.126.626
Bedrijfsnaam888 Acquisitions Ltd,Bedrag in euro's15.999.800
