Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamHenkel AG & Co KGaA,Bedrag in euro's16.736.800
BedrijfsnaamHighland Holdings Sarl,Bedrag in euro's66.882.656
BedrijfsnaamHolcim Finance Luxembourg SA,Bedrag in euro's72.468.637
BedrijfsnaamHolding d'Infrastructures de Transport SASU,Bedrag in euro's42.107.487
BedrijfsnaamHuhtamaki OYJ,Bedrag in euro's5.732.609
BedrijfsnaamIberdrola Finanzas SA,Bedrag in euro's23.379.182
BedrijfsnaamIHG Finance LLC,Bedrag in euro's22.196.266
BedrijfsnaamIllinois Tool Works Inc,Bedrag in euro's78.269.723
BedrijfsnaamIMCD NV,Bedrag in euro's39.637.082
BedrijfsnaamImerys SA,Bedrag in euro's12.044.165
BedrijfsnaamIn'li SA,Bedrag in euro's27.850.396
BedrijfsnaamInfineon Technologies AG,Bedrag in euro's49.785.017
BedrijfsnaamInforma PLC,Bedrag in euro's69.106.900
BedrijfsnaamING Groep NV,Bedrag in euro's121.111.878
BedrijfsnaamInmobiliaria Colonial Socimi SA,Bedrag in euro's10.265.444
BedrijfsnaamIntermediate Capital Group PLC,Bedrag in euro's42.570.023
BedrijfsnaamInternational Business Machines Corp,Bedrag in euro's102.535.881
BedrijfsnaamInternational Flavors & Fragrances Inc,Bedrag in euro's24.366.944
BedrijfsnaamInvestor AB,Bedrag in euro's73.540.877
BedrijfsnaamISS Global A/S,Bedrag in euro's25.308.128
BedrijfsnaamItalgas SpA,Bedrag in euro's25.514.014
BedrijfsnaamIWG US Finance LLC,Bedrag in euro's12.531.569
BedrijfsnaamJAB Holdings BV,Bedrag in euro's10.417.673
BedrijfsnaamJames Hardie International Finance DAC,Bedrag in euro's8.200.777
BedrijfsnaamJCDecaux SE,Bedrag in euro's8.451.452
BedrijfsnaamJDE Peet's NV,Bedrag in euro's64.076.858
BedrijfsnaamJH North America Holdings Inc,Bedrag in euro's1.929.195
BedrijfsnaamJohn Deere Bank SA,Bedrag in euro's48.752.440
BedrijfsnaamJohnson & Johnson,Bedrag in euro's89.157.194
BedrijfsnaamJohnson Controls International plc / Tyco Fire & Security Finance SCA,Bedrag in euro's26.673.585
BedrijfsnaamJPMorgan Chase & Co,Bedrag in euro's130.559.473
BedrijfsnaamJyske Bank A/S,Bedrag in euro's55.903.410
BedrijfsnaamKBC Group NV,Bedrag in euro's80.938.252
BedrijfsnaamKBC IFIMA SA,Bedrag in euro's23.654.664
BedrijfsnaamKerry Group Financial Services,Bedrag in euro's63.748.541
BedrijfsnaamKingspan Securities Ireland DAC,Bedrag in euro's22.365.005
BedrijfsnaamKnorr-Bremse AG,Bedrag in euro's10.632.226
BedrijfsnaamKojamo Oyj,Bedrag in euro's10.457.246
BedrijfsnaamKoninklijke Ahold Delhaize NV,Bedrag in euro's87.190.657
BedrijfsnaamKoninklijke KPN NV,Bedrag in euro's31.888.673
BedrijfsnaamKraft Heinz Foods Co,Bedrag in euro's47.164.198
BedrijfsnaamKreditanstalt fuer Wiederaufbau,Bedrag in euro's674.678
BedrijfsnaamL'Oreal SA,Bedrag in euro's35.015.244
BedrijfsnaamLa Poste SA,Bedrag in euro's46.008.151
BedrijfsnaamLansforsakringar Bank AB,Bedrag in euro's58.444.315
BedrijfsnaamLANXESS AG,Bedrag in euro's18.285.562
BedrijfsnaamLEG Immobilien SE,Bedrag in euro's22.335.276
BedrijfsnaamLinde Inc/CT,Bedrag in euro's21.758.411
BedrijfsnaamLinde PLC,Bedrag in euro's79.790.475
BedrijfsnaamLKQ Dutch Bond BV,Bedrag in euro's21.585.180
BedrijfsnaamLloyds Banking Group PLC,Bedrag in euro's20.299.485
BedrijfsnaamLondon Stock Exchange Group PLC,Bedrag in euro's30.028.594
BedrijfsnaamLonza Finance International NV,Bedrag in euro's61.823.797
BedrijfsnaamLouis Dreyfus Co Finance BV,Bedrag in euro's36.295.130
BedrijfsnaamLseg Netherlands BV,Bedrag in euro's51.004.077
BedrijfsnaamLunar Funding V for Swisscom AG,Bedrag in euro's21.921.609
BedrijfsnaamMagallanes Inc,Bedrag in euro's7.467.558
BedrijfsnaamMagna International Inc,Bedrag in euro's26.681.403
BedrijfsnaamManchester Airport Group Funding PLC,Bedrag in euro's28.022.982
BedrijfsnaamManpowerGroup Inc,Bedrag in euro's25.312.979
BedrijfsnaamMarsh & McLennan Cos Inc,Bedrag in euro's39.127.704
BedrijfsnaamMassMutual Global Funding II,Bedrag in euro's26.052.550
BedrijfsnaamMattel Inc,Bedrag in euro's1.713.435
BedrijfsnaamMcDonald's Corp,Bedrag in euro's59.040.775
BedrijfsnaamMcKesson Corp,Bedrag in euro's34.197.084
BedrijfsnaamMerck & Co Inc,Bedrag in euro's39.219.517
BedrijfsnaamMerlin Properties Socimi SA,Bedrag in euro's11.383.172
BedrijfsnaamMetropolitan Life Global Funding I,Bedrag in euro's102.114.027
BedrijfsnaamMicrosoft Corp,Bedrag in euro's48.041.658
BedrijfsnaamMolnlycke Holding AB,Bedrag in euro's15.597.138
BedrijfsnaamMolson Coors Beverage Co,Bedrag in euro's24.511.777
BedrijfsnaamMondelez International Inc,Bedrag in euro's82.897.786
BedrijfsnaamMondi Finance Europe GmbH,Bedrag in euro's10.101.862
BedrijfsnaamMondi Finance PLC,Bedrag in euro's87.464.163
BedrijfsnaamMoody's Corp,Bedrag in euro's57.701.946
BedrijfsnaamMorgan Stanley,Bedrag in euro's78.342.254
BedrijfsnaamMotability Operations Group PLC,Bedrag in euro's102.486.386
BedrijfsnaamMSD Netherlands Capital BV,Bedrag in euro's18.671.254
