Bedrijfsnaam,Bedrag in euro's
BedrijfsnaamWesfarmers Ltd,Bedrag in euro's33.703.276
BedrijfsnaamWestpac Securities NZ Ltd/London,Bedrag in euro's36.875.615
BedrijfsnaamWintershall Dea Finance BV,Bedrag in euro's19.826.001
BedrijfsnaamWolters Kluwer NV,Bedrag in euro's82.999.090
BedrijfsnaamWoolworths Group Ltd,Bedrag in euro's48.640.914
BedrijfsnaamWorley US Finance Sub Ltd,Bedrag in euro's31.328.205
BedrijfsnaamWP Carey Inc,Bedrag in euro's16.531.924
BedrijfsnaamWPC Eurobond BV,Bedrag in euro's36.172.192
BedrijfsnaamWPP Finance 2013,Bedrag in euro's9.420.841
BedrijfsnaamWPP Finance SA,Bedrag in euro's14.032.815
BedrijfsnaamYorkshire Building Society,Bedrag in euro's2.640.922
BedrijfsnaamZimmer Biomet Holdings Inc,Bedrag in euro's32.967.260
BedrijfsnaamZuercher Kantonalbank,Bedrag in euro's41.846.432
Bedrijfsnaam3i Group PLC,Bedrag in euro's29.714.649
